,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
1125,NxtWave,EdTech ,3.8,829," Company Culture, Skill Development / Learning, Salary & Benefits ",, Hyderabad / Secunderabad +27 other locations
1126,Astral Adhesives,Chemicals ,3.9,774, Salary & Benefits  , Promotions / Appraisal, Ahmedabad +143 other locations
1127,C.R.I. Pumps,Industrial Machinery ,3.8,773,  , Promotions / Appraisal, Coimbatore +65 other locations
1128,Defence Research & Development Organisation,Defence & Aerospace ,4.5,802," Work Life Balance, Skill Development / Learning, Company Culture ",, Hyderabad / Secunderabad +48 other locations
1129,Alok Industries,Fashion & Textile ,3.7,771, Job Security  ," Promotions / Appraisal, Salary & Benefits", Silvassa / Dadra & Nagar Haveli +32 other locations
1130,Collins Aerospace,Defence & Aerospace ,3.9,837," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +10 other locations
1131,SFO Technologies,IT Services & Consulting ,3.4,772,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +16 other locations
1132,AuthBridge Research Services,IT Services & Consulting ,3.5,772,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Gurgaon / Gurugram +22 other locations
1133,ALLEN Career Institute,Education & Training ,3.9,771," Work Life Balance, Job Security  ", Promotions / Appraisal, Kota +63 other locations
1134,Skill Lync ,EdTech ,3.1,770,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Chennai +15 other locations
1135,Parekh Integrated Services,Logistics ,4.1,768," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +71 other locations
1136,Edubridge Learning,EdTech ,4.1,767," Skill Development / Learning, Company Culture, Work Life Balance ",, Mumbai +61 other locations
1137,ICCS,BPO ,3.1,768,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Noida +28 other locations
1138,Tafe Motors & Tractors,Automobile ,3.9,767," Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Bhopal +64 other locations
1139,Shyam Steel Industries,Iron & Steel ,3.5,768,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Kolkata +70 other locations
1140,SK Finance Limited,NBFC ,4.0,847," Company Culture, Skill Development / Learning, Work Life Balance ",, Jaipur +196 other locations
1141,Knight Frank,Real Estate ,4.0,766," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Mumbai +46 other locations
1142,Signify,Consumer Electronics & Appliances ,3.5,816,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Bangalore / Bengaluru +72 other locations
1143,Precision Infomatic M Pvt Ltd,IT Services & Consulting ,3.8,765, Job Security  ," Promotions / Appraisal, Salary & Benefits", Chennai +87 other locations
1144,Rupeek,FinTech ,3.7,778,  ," Job Security, Promotions / Appraisal", Bangalore / Bengaluru +57 other locations
1145,Centum Electronics,Electronics Manufacturing ,3.8,763," Job Security, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +17 other locations
1146,Wonder Cement,Building Material ,4.2,767," Company Culture, Job Security, Skill Development / Learning ",, Nimbahera +96 other locations
1147,Intex Technologies,Consumer Electronics & Appliances ,3.8,763,  ," Job Security, Promotions / Appraisal", New Delhi +74 other locations
1148,Aristo Pharmaceuticals,Mumbai +97 other locations,4.0,763," Work Life Balance, Job Security, Company Culture  "," Promotions / Appraisal, Skill Development / Learning",
1149,Nlb Services,IT Services & Consulting ,3.9,761," Company Culture, Work Life Balance, Salary & Benefits ",, Noida +21 other locations
1150,NBC Bearings,Auto Components ,3.8,829," Job Security, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Jaipur +25 other locations
1151,Better.com,Financial Services ,3.0,763, Salary & Benefits  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Gurgaon / Gurugram +9 other locations
1152,Bank of India,Banking ,3.8,756, Job Security  ," Work Life Balance, Work Satisfaction, Skill Development / Learning", Mumbai +164 other locations
1153,LEAD School,EdTech ,3.3,774,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Mumbai +93 other locations
1154,OCS Group,Facility Management Services ,4.1,756," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +52 other locations
1155,Updater Services,Facility Management Services ,3.8,758,  ," Promotions / Appraisal, Company Culture, Job Security", Chennai +91 other locations
1156,FIITJEE,New Delhi +48 other locations,3.3,754,  ," Promotions / Appraisal, Salary & Benefits, Company Culture",
1157,Medha Servo Drives,Electrical Equipment ,4.2,755," Job Security, Skill Development / Learning, Company Culture ",, Hyderabad / Secunderabad +50 other locations
1158,ACL Digital,IT Services & Consulting ,3.6,753,  ," Promotions / Appraisal, Skill Development / Learning, Job Security", Bangalore / Bengaluru +24 other locations
1159,Ramco Systems,Software Product ,3.9,753," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Chennai +26 other locations
1160,Dunzo,Internet ,3.4,752,  ," Job Security, Promotions / Appraisal, Company Culture", Bangalore / Bengaluru +20 other locations
1161,Marsh McLennan,Financial Services ,4.0,751," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Mumbai +23 other locations
1162,Freshworks,Software Product ,3.5,752,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Chennai +46 other locations
1163,Brane Enterprises,Software Product ,2.0,788,  ," Job Security, Company Culture, Work Satisfaction", Hyderabad / Secunderabad +9 other locations
1164,Adani Enterprises,Metals & Mining ,3.8,749, Job Security  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Ahmedabad +64 other locations
1165,Amphenol Interconnect,Electrical Equipment ,4.2,751," Work Life Balance, Job Security, Salary & Benefits ",, Pune +16 other locations
1166,Siemens Energy,Power ,4.1,749," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Pune +46 other locations
1167,Musashi Auto Parts,Auto Components ,3.9,750,  ," Promotions / Appraisal, Job Security", Rewari +22 other locations
1168,Xceedance,Internet ,3.6,750, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Gurgaon / Gurugram +11 other locations
1169,Jaro Education,Mumbai +23 other locations,2.8,747,  ," Work Life Balance, Work Satisfaction, Job Security",
1170,Athena BPO,BPO ,3.2,747,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Mumbai +32 other locations
1171,Tiger Analytics,IT Services & Consulting ,3.7,748,  ," Promotions / Appraisal, Work Satisfaction", Chennai +15 other locations
1172,Innodata India Private Limited,IT Services & Consulting ,3.7,747,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Noida +22 other locations
1173,Magna International,Auto Components ,3.9,745, Job Security  , Promotions / Appraisal, Pune +19 other locations
1174,Panacea Biotec,Biotechnology ,3.7,746,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Baddi +61 other locations
1175,Mahindra Tractors,Automobile ,4.1,744," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Nagpur +118 other locations
1176,Malabar Gold and Diamonds,Hyderabad / Secunderabad +105 other locations,4.0,745," Job Security, Skill Development / Learning, Company Culture ",,
1177,TÜV NORD,Other ,3.8,830,  ," Promotions / Appraisal, Salary & Benefits", Pune +67 other locations
1178,Sanden Vikas,Auto Components ,4.0,745," Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Faridabad +26 other locations
1179,1 India Family Mart,Retail ,4.6,742," Work Life Balance, Company Culture, Work Satisfaction ",, New Delhi +96 other locations
1180,Royal Sundaram General Insurance,Insurance ,3.9,742," Work Life Balance, Job Security  ", Promotions / Appraisal, Chennai +99 other locations
1181,Škoda Auto Volkswagen,Automobile ,4.1,781," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Pune +43 other locations
1182,SLK Global Services,BPO ,3.8,739,  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +8 other locations
1183,Shilpa Medicare,Pharma ,3.4,738,  ," Job Security, Company Culture, Promotions / Appraisal", Hyderabad / Secunderabad +29 other locations
1184,Medusind Solutions,IT Services & Consulting ,3.6,737,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Chennai +10 other locations
1185,H&M,Fashion & Textile ,3.9,736," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, New Delhi +51 other locations
1186,HP India,Consumer Electronics & Appliances ,4.0,733," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Bangalore / Bengaluru +57 other locations
1187,Huhtamaki,Packaging ,3.9,734," Skill Development / Learning, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Mumbai +36 other locations
1188,Mahindra Automotives ,Automobile ,4.0,795," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Pune +111 other locations
1189,SKH Metals,Auto Components ,4.0,731," Company Culture, Work Life Balance, Skill Development / Learning ",, Gurgaon / Gurugram +19 other locations
1190,Electronica Finance,NBFC ,3.9,731," Salary & Benefits, Company Culture, Work Life Balance ",, Pune +128 other locations
1191,NTT,IT Services & Consulting ,3.9,730," Work Life Balance, Job Security, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +41 other locations
1192,Qinecsa Solutions,Clinical Research ,2.9,757,  ," Job Security, Promotions / Appraisal, Company Culture", Mysuru / Mysore +13 other locations
1193,Steag Energy Services,Power ,4.2,730," Job Security, Work Life Balance, Work Satisfaction ",, Jharsuguda +50 other locations
1194,Re Sustainability Limited,Waste Management ,3.9,730," Job Security, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +77 other locations
1195,Orion Edutech,EdTech ,3.2,728,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Kolkata +111 other locations
1196,Vertex Customer Solutions,IT Services & Consulting ,3.7,727,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +32 other locations
1197,QX Global Group,BPO ,3.3,775,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Ahmedabad +16 other locations
1198,Epsilon,Marketing & Advertising ,3.9,727," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +14 other locations
1199,Target,Retail ,4.2,728," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +16 other locations
1200,Artech Infosystems,Bangalore / Bengaluru +20 other locations,3.5,726,  ," Promotions / Appraisal, Job Security, Skill Development / Learning",
1201,Jabil Circuit India,Electronics Manufacturing ,4.0,753," Company Culture, Skill Development / Learning, Job Security  ", Promotions / Appraisal, Pune +17 other locations
1202,Cigniti Technologies,IT Services & Consulting ,3.7,725,  , Promotions / Appraisal, Hyderabad / Secunderabad +8 other locations
1203,MOURI Tech,IT Services & Consulting ,3.7,731,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +9 other locations
1204,Bechtel,Engineering & Construction ,4.0,767," Salary & Benefits, Company Culture, Work Life Balance  "," Job Security, Promotions / Appraisal", Gurgaon / Gurugram +27 other locations
1205,Skipper,Industrial Machinery ,3.7,727,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Kolkata +77 other locations
1206,National Health Mission,Healthcare ,3.5,724,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Guwahati +250 other locations
1207,IMPACT Infotech,Recruitment ,3.4,724,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Mumbai +67 other locations
1208,Navayuga Engineering Company,Engineering & Construction ,4.0,724," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Hyderabad / Secunderabad +63 other locations
1209,Tata Hitachi Construction Machinery,Industrial Machinery ,4.0,723," Company Culture, Work Life Balance  ", Promotions / Appraisal, Kharagpur +72 other locations
1210,Greaves Cotton,Auto Components ,4.1,725," Job Security, Company Culture, Work Life Balance ",, Aurangabad +44 other locations
