,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
8535,Jayabheri Automotives, Hyderabad / Secunderabad +6 other locations,Engineering & Construction ,4.0,105," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
8536,Bangalore Baptist Hospital, Bangalore / Bengaluru +2 other locations,Healthcare ,4.4,105,  ," Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction"
8537,Linamar,,Pune +3 other locations,3.8,106," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
8538,Swarovski India, Pune +18 other locations,Jewellery ,4.0,105," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
8539,SEPC Limited, Chennai +17 other locations,Oil & Gas ,4.2,105,,
8540,Matrix Clothing, Gurgaon / Gurugram +4 other locations,Fashion & Textile ,4.1,105," Highly Rated For Company Culture, Job Security, Skill Development / Learning ",
8541,Tilaknagar Industries Ltd., Mumbai +17 other locations,Beverage ,4.0,106," Highly Rated For Work Life Balance, Job Security ",
8542,FBSPL- Fusion Business Solution P Limited , Udaipur +6 other locations,BPO ,3.4,105,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8543,Strabag, Noida +13 other locations,Engineering & Construction ,4.2,105," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
8544,Seneca Global IT Services, Hyderabad / Secunderabad +1 other locations,IT Services & Consulting ,4.1,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8545,Merlin Group, Kolkata +7 other locations,Real Estate ,3.8,105," Highly Rated For Job Security, Skill Development / Learning  "," Rated For Promotions / Appraisal, Company Culture"
8546,ABIL Group, Pune +1 other locations,Real Estate ,4.3,105," Highly Rated For Work Life Balance, Company Culture, Job Security ",
8547,Nalanda Learning Systems, Kolkata +8 other locations,Education & Training ,2.5,105,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8548,Rtech Group, Jaipur +11 other locations,Real Estate ,3.4,105,  ," Rated For Job Security, Salary & Benefits, Company Culture"
8549,SAVE Solutions, New Delhi +27 other locations,Financial Services ,4.1,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8550,Gram Tarang Employability Training Services, Bhubaneswar +26 other locations,Recruitment ,3.6,105, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
8551,Filter Concept Private Ltd,,Ahmedabad +3 other locations,4.8,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8552,Enrich Agro Food Products, Rohtak +6 other locations,FMCG ,3.7,105,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8553,Kalburgi Cement, Gulbarga +12 other locations,Building Material ,3.8,105, Highly Rated For Job Security  , Rated For Promotions / Appraisal
8554,Hatch Associates India, Gurgaon / Gurugram +3 other locations,Electronics Manufacturing ,4.0,106," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
8555,Amrita Vidyalayam, Chennai +30 other locations,Education & Training ,3.7,105,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8556,Defsys Solutions, Gurgaon / Gurugram +7 other locations,Defence & Aerospace ,3.7,106,  ," Rated For Promotions / Appraisal, Job Security"
8557,Nestor Pharmaceuticals, Faridabad +11 other locations,Pharma ,3.0,105,  ," Rated For Company Culture, Job Security, Promotions / Appraisal"
8558,Real Ispat & Power, Raipur +8 other locations,Power ,3.6,105,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8559,Omni Hospital, Hyderabad / Secunderabad +7 other locations,Healthcare ,4.1,105," Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning  ", Rated For Salary & Benefits
8560,Defsys Solutions, Gurgaon / Gurugram +7 other locations,Defence & Aerospace ,3.7,106,  ," Rated For Promotions / Appraisal, Job Security"
8561,Automotive Industry,,Chennai +45 other locations,4.3,106," Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning ",
8562,S.k Educations, New Delhi +18 other locations,Education & Training ,4.1,105," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
8563,ABIL Group, Pune +1 other locations,Real Estate ,4.3,105," Highly Rated For Work Life Balance, Company Culture, Job Security ",
8564,Imdaad, Dubai +8 other locations,Facility Management Services ,4.3,105," Highly Rated For Job Security, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
8565,Lumax Mannoh Allied Technologies, Gurgaon / Gurugram +8 other locations,Auto Components ,3.9,105," Highly Rated For Job Security, Work Satisfaction, Skill Development / Learning ",
8566,Teaching at home, New Delhi +40 other locations,Design ,4.2,105," Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction ",
8567,Gesco Healthcare, Chennai +11 other locations,Medical Equipment ,2.7,105,  ," Rated For Job Security, Company Culture, Promotions / Appraisal"
8568,Sandip University, Nashik +18 other locations,Education & Training ,3.8,105,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
8569,Rotodyne Industries, Hyderabad / Secunderabad +8 other locations,Industrial Machinery ,3.5,105,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8570,EasyBuy Lifestyle,,Bangalore / Bengaluru +38 other locations,3.7,105, Highly Rated For Skill Development / Learning ,
8571,Affordable Robotic and Automation, Pune +4 other locations,IT Services & Consulting ,3.2,105,  ," Rated For Salary & Benefits, Company Culture, Promotions / Appraisal"
8572,Bridgei2i Analytics Solutions, Bangalore / Bengaluru +5 other locations,IT Services & Consulting ,3.8,105," Highly Rated For Company Culture, Skill Development / Learning, Job Security  ", Rated For Salary & Benefits
8573,KrishTeck Technologies, Salem +26 other locations,IT Services & Consulting ,4.6,104," Highly Rated For Company Culture, Job Security, Skill Development / Learning ",
8574,InternIn, Mumbai +15 other locations,Recruitment ,4.4,105," Highly Rated For Company Culture, Work Life Balance, Promotions / Appraisal ",
8575,Logelite, Lucknow +3 other locations,Software Product ,4.5,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8576,ASSISTICA VENTURES,,Bangalore / Bengaluru,5.0,2," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8577,ClinicAnywhere,,Bangalore / Bengaluru +7 other locations,3.2,108,  ," Rated For Job Security, Company Culture, Promotions / Appraisal"
8578,Chanakya IAS Academy, New Delhi +21 other locations,Education & Training ,3.0,104,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8579,Saudi Arabian Airlines, Mumbai +17 other locations,Aviation ,4.0,104," Highly Rated For Work Satisfaction, Job Security, Skill Development / Learning ",
8580,Techtree It Systems, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,2.4,104,  ," Rated For Job Security, Salary & Benefits, Promotions / Appraisal"
8581,ZunRoof Tech, Gurgaon / Gurugram +10 other locations,Power ,2.8,112,  ," Rated For Job Security, Work Life Balance, Work Satisfaction"
8582,Aksentt Tech Services, Mumbai +14 other locations,IT Services & Consulting ,4.2,112," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8583,Josh Software, Pune +2 other locations,IT Services & Consulting ,3.1,104,  ," Rated For Job Security, Promotions / Appraisal, Salary & Benefits"
8584,PACL India, New Delhi +46 other locations,Real Estate ,3.7,104,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
8585,Integral University, Lucknow +7 other locations,Education & Training ,3.8,104,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8586,SIPL, New Delhi +37 other locations,IT Services & Consulting ,3.9,104," Highly Rated For Work Life Balance, Job Security, Work Satisfaction ",
8587,House of Hiranandani, Mumbai +11 other locations,Real Estate ,4.4,104," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8588,Preqin, Bangalore / Bengaluru +2 other locations,Financial Services ,3.5,104," Highly Rated For Work Life Balance, Salary & Benefits  "," Rated For Job Security, Skill Development / Learning, Work Satisfaction"
8589,Classic Stripes, Mumbai +11 other locations,Auto Components ,3.6,104, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
8590,Windals Precision, Pune +5 other locations,Auto Components ,3.5,104,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8591,Sofitel Luxury Hotel, Mumbai +9 other locations,Hospitality ,4.8,104," Highly Rated For Company Culture, Job Security, Salary & Benefits ",
8592,Basavatarakam Indo American Cancer Hospital Research Institute, Hyderabad / Secunderabad +6 other locations,Healthcare ,4.3,104," Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance ",
8593,4i apps solutions, Chennai +1 other locations,IT Services & Consulting ,4.2,104," Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction ",
8594,Country Club Hospitality & Holidays, Hyderabad / Secunderabad +19 other locations,Hospitality ,3.8,107,  , Rated For Salary & Benefits
8595,Girnarsoft Automobiles,,New Delhi +24 other locations,3.7,107, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal"
8596,R.k.industries, Chennai +30 other locations,Industrial Machinery ,3.4,113,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
8597,mPHATEK Systems, Pune +3 other locations,IT Services & Consulting ,3.5,112,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
8598,Chetana Publications, Mumbai +19 other locations,Printing & Publishing ,3.1,108,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
8599,Wockhardt Biotech Park, Aurangabad +4 other locations,Pharma ,3.8,109," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Salary & Benefits"
8600,GXO,,Mumbai +10 other locations,3.8,126," Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  ", Rated For Promotions / Appraisal
8601,Egniol Services Private Limited, Ahmedabad +7 other locations,Legal ,2.9,120,  ," Rated For Job Security, Company Culture, Work Satisfaction"
8602,Krishna Enterprises, Faridabad +39 other locations,Industrial Machinery ,4.2,106," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture ",
8603,Radixweb, Ahmedabad +2 other locations,IT Services & Consulting ,3.2,119,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
8604,DAZN, Hyderabad / Secunderabad +4 other locations,Media & Entertainment ,2.7,120,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8605,Mylab Discovery Solutions, Pune +16 other locations,Internet ,3.2,108,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
8606,WonderBotz, Bangalore / Bengaluru +15 other locations,IT Services & Consulting ,4.2,110," Highly Rated For Salary & Benefits, Skill Development / Learning, Company Culture ",
8607,Futurism Technologies , Pune +1 other locations,IT Services & Consulting ,3.0,116,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8608,Believe Cosmetics,,Bangalore / Bengaluru +19 other locations,3.2,112,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8609,Repos Energy, Pune +11 other locations,Internet ,3.3,107,  ," Rated For Job Security, Work Satisfaction, Work Life Balance"
8610,Linedata , Mumbai +6 other locations,Internet ,3.5,122,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
8611,KLM Laboratories, Vadodara +23 other locations,Pharma ,3.9,121," Highly Rated For Job Security, Company Culture, Work Life Balance ",
8612,Petroexcel Technology Services, Vadodara +7 other locations,Oil & Gas ,3.3,115,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
8613,Urban Money,,Mumbai +36 other locations,3.0,112,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
8614,Unimark Remedies, Vapi +11 other locations,Pharma ,3.1,104,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
8615,Techversant Infotech, Thiruvananthapuram +4 other locations,IT Services & Consulting ,3.7,104," Highly Rated For Company Culture, Work Life Balance, Job Security  "," Rated For Salary & Benefits, Promotions / Appraisal"
8616,Ahlcon Parenterals, Bhiwadi +6 other locations,Pharma ,4.2,104," Highly Rated For Work Life Balance, Job Security, Company Culture ",
8617,Eastman Cast & Forge, Ludhiana +8 other locations,Import & Export ,2.9,104,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
8618,Chassis Brakes International, Jalgaon +8 other locations,Auto Components ,3.8,104," Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning ",
8619,Jubilant Chemsys, Noida +7 other locations,Pharma ,4.0,104," Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning ",
8620,Basavatarakam Indo American Cancer Hospital Research Institute, Hyderabad / Secunderabad +6 other locations,Healthcare ,4.3,104," Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance ",
8621,House of Hiranandani, Mumbai +11 other locations,Real Estate ,4.4,104," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8622,Vibrant Screen, Bangalore / Bengaluru +7 other locations,Recruitment ,3.8,105,  ," Rated For Promotions / Appraisal, Salary & Benefits"
8623,Techversant Infotech, Thiruvananthapuram +4 other locations,IT Services & Consulting ,3.7,104," Highly Rated For Company Culture, Work Life Balance, Job Security  "," Rated For Salary & Benefits, Promotions / Appraisal"
8624,PACL India, New Delhi +46 other locations,Real Estate ,3.7,104,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
8625,Integral University, Lucknow +7 other locations,Education & Training ,3.8,104,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
